freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.307e+01,4.381e+03,2.521e+01,4.439e+03
1.5,4.309e+01,2.891e+04,7.122e+01,2.902e+04
3.0,2.959e+01,9.741e+03,6.822e+01,9.839e+03
4.5,2.858e+01,4.001e+03,6.836e+01,4.098e+03
6.0,2.686e+01,3.387e+03,6.507e+01,3.479e+03
7.5,2.671e+01,3.313e+03,6.581e+01,3.406e+03
9.0,2.652e+01,4.531e+03,6.613e+01,4.624e+03
10.5,2.962e+01,6.569e+03,7.004e+01,6.669e+03
12.0,5.098e+01,1.133e+04,7.131e+01,1.145e+04
13.5,2.878e+02,2.320e+04,7.778e+01,2.357e+04
15.0,1.137e+03,3.915e+04,1.038e+02,4.040e+04
16.5,2.007e+03,2.318e+04,1.242e+02,2.531e+04
18.0,1.131e+03,4.714e+03,1.168e+02,5.961e+03
19.6,2.793e+02,2.641e+03,9.150e+01,3.012e+03
21.1,2.025e+02,4.981e+03,8.785e+01,5.271e+03
22.6,1.269e+02,9.026e+03,9.971e+01,9.252e+03
24.1,1.247e+02,1.513e+04,1.183e+02,1.537e+04
25.6,1.347e+02,2.523e+04,1.790e+02,2.555e+04
27.1,2.195e+02,3.987e+04,3.393e+02,4.043e+04
28.6,3.263e+02,6.382e+04,5.656e+02,6.471e+04
30.1,4.230e+02,1.169e+05,1.206e+03,1.185e+05
31.6,6.409e+02,1.926e+05,2.951e+03,1.962e+05
33.1,8.971e+02,1.990e+05,3.703e+03,2.036e+05
34.6,1.125e+03,1.963e+05,3.856e+03,2.013e+05
36.1,7.674e+02,2.181e+05,4.298e+03,2.231e+05
37.6,5.826e+02,3.185e+05,5.859e+03,3.249e+05
39.1,1.043e+03,3.572e+05,6.938e+03,3.651e+05
40.6,2.337e+03,3.208e+05,7.584e+03,3.307e+05
42.1,4.842e+03,1.752e+05,6.409e+03,1.865e+05
43.6,1.136e+04,7.344e+04,6.585e+03,9.139e+04
45.1,2.649e+04,2.791e+04,6.644e+03,6.105e+04
46.6,3.774e+04,1.303e+04,6.583e+03,5.735e+04
48.1,2.534e+04,9.381e+03,6.637e+03,4.135e+04
49.6,1.788e+04,7.997e+03,6.450e+03,3.232e+04
51.1,1.699e+04,6.870e+03,6.829e+03,3.069e+04
52.6,2.021e+04,8.230e+03,6.562e+03,3.500e+04
54.1,2.561e+04,1.084e+04,4.282e+03,4.073e+04
55.7,3.401e+04,1.641e+04,4.078e+03,5.450e+04
57.2,4.003e+04,2.025e+04,4.775e+03,6.505e+04
58.7,4.666e+04,2.456e+04,4.418e+03,7.564e+04
60.2,5.278e+04,3.161e+04,3.127e+03,8.752e+04
61.7,6.542e+04,5.430e+04,2.867e+03,1.226e+05
63.2,8.291e+04,8.365e+04,4.377e+03,1.709e+05
64.7,9.329e+04,1.241e+05,5.939e+03,2.233e+05
66.2,9.639e+04,1.589e+05,8.565e+03,2.638e+05
67.7,8.389e+04,1.685e+05,1.049e+04,2.629e+05
69.2,7.248e+04,1.980e+05,1.165e+04,2.822e+05
70.7,7.179e+04,2.163e+05,9.560e+03,2.976e+05
72.2,6.952e+04,2.226e+05,4.659e+03,2.968e+05
73.7,6.126e+04,2.296e+05,1.825e+03,2.927e+05
75.2,4.902e+04,2.323e+05,1.006e+03,2.823e+05
76.7,3.809e+04,2.388e+05,7.939e+02,2.777e+05
78.2,3.064e+04,2.626e+05,8.536e+02,2.941e+05
79.7,2.425e+04,3.020e+05,1.294e+03,3.275e+05
81.2,2.338e+04,3.673e+05,2.313e+03,3.930e+05
82.7,2.543e+04,4.307e+05,4.001e+03,4.601e+05
84.2,3.110e+04,4.607e+05,6.144e+03,4.979e+05
85.7,3.016e+04,4.384e+05,8.555e+03,4.772e+05
87.2,2.640e+04,3.918e+05,1.066e+04,4.288e+05
88.7,2.238e+04,3.132e+05,1.556e+04,3.511e+05
90.2,1.955e+04,2.422e+05,2.288e+04,2.847e+05
91.7,1.670e+04,1.871e+05,2.987e+04,2.337e+05
93.3,1.339e+04,1.557e+05,3.543e+04,2.045e+05
94.8,9.922e+03,1.378e+05,3.188e+04,1.796e+05
96.3,7.102e+03,1.282e+05,2.191e+04,1.572e+05
97.8,5.292e+03,1.100e+05,1.318e+04,1.285e+05
99.3,4.149e+03,8.684e+04,1.004e+04,1.010e+05
100.8,3.647e+03,6.767e+04,1.045e+04,8.177e+04
102.3,4.629e+03,5.405e+04,1.304e+04,7.172e+04
103.8,4.931e+03,4.979e+04,2.161e+04,7.633e+04
105.3,3.957e+03,5.737e+04,3.735e+04,9.867e+04
106.8,2.697e+03,6.148e+04,4.925e+04,1.134e+05
108.3,2.067e+03,6.172e+04,6.062e+04,1.244e+05
109.8,2.002e+03,5.598e+04,7.437e+04,1.324e+05
111.3,2.409e+03,4.769e+04,7.713e+04,1.272e+05
112.8,3.589e+03,3.744e+04,7.477e+04,1.158e+05
114.3,5.653e+03,3.234e+04,5.746e+04,9.545e+04
115.8,8.235e+03,2.865e+04,4.726e+04,8.415e+04
117.3,9.923e+03,2.953e+04,3.273e+04,7.218e+04
118.8,1.099e+04,3.384e+04,2.496e+04,6.979e+04
120.3,1.162e+04,3.196e+04,1.962e+04,6.320e+04
121.8,1.276e+04,2.984e+04,1.908e+04,6.168e+04
123.3,1.603e+04,2.897e+04,2.396e+04,6.895e+04
124.8,1.830e+04,3.057e+04,2.793e+04,7.681e+04
126.3,1.784e+04,3.462e+04,2.996e+04,8.242e+04
127.8,1.609e+04,3.632e+04,2.969e+04,8.210e+04
129.3,1.458e+04,3.996e+04,2.973e+04,8.427e+04
130.9,1.201e+04,3.955e+04,2.581e+04,7.737e+04
132.4,1.060e+04,3.775e+04,2.107e+04,6.942e+04
133.9,9.002e+03,3.030e+04,1.417e+04,5.348e+04
135.4,4.574e+03,1.264e+04,5.572e+03,2.279e+04
136.9,2.436e+03,4.843e+03,2.322e+03,9.601e+03
138.4,3.072e+03,4.482e+03,1.786e+03,9.340e+03
139.9,3.012e+03,3.415e+03,1.451e+03,7.878e+03
141.4,3.214e+03,2.825e+03,1.235e+03,7.275e+03
