freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.704e+03,5.497e+01,1.589e+01,4.775e+03
1.5,2.824e+04,1.327e+02,6.183e+01,2.844e+04
3.0,9.071e+03,1.192e+02,6.958e+01,9.260e+03
4.5,3.459e+03,1.281e+02,7.011e+01,3.657e+03
6.0,2.500e+03,1.335e+02,7.545e+01,2.709e+03
7.5,2.343e+03,1.521e+02,7.766e+01,2.572e+03
9.0,2.955e+03,1.736e+02,7.614e+01,3.204e+03
10.5,3.777e+03,2.256e+02,7.915e+01,4.081e+03
12.0,4.883e+03,2.493e+02,8.325e+01,5.216e+03
13.6,6.324e+03,3.054e+02,8.717e+01,6.717e+03
15.1,8.533e+03,3.338e+02,9.337e+01,8.960e+03
16.6,1.003e+04,4.487e+02,1.001e+02,1.058e+04
18.1,7.239e+03,3.875e+02,9.137e+01,7.718e+03
19.6,7.899e+03,2.626e+02,7.541e+01,8.237e+03
21.1,9.302e+03,2.971e+02,7.575e+01,9.675e+03
22.6,1.071e+04,3.940e+02,8.262e+01,1.119e+04
24.1,1.369e+04,6.223e+02,9.341e+01,1.441e+04
25.6,1.778e+04,9.855e+02,1.169e+02,1.888e+04
27.1,2.031e+04,1.599e+03,1.539e+02,2.206e+04
28.6,2.472e+04,2.631e+03,1.909e+02,2.755e+04
30.1,2.866e+04,3.735e+03,2.047e+02,3.260e+04
31.6,3.487e+04,4.982e+03,2.202e+02,4.007e+04
33.1,4.053e+04,5.272e+03,2.095e+02,4.601e+04
34.6,5.063e+04,5.667e+03,1.722e+02,5.647e+04
36.1,6.279e+04,6.142e+03,1.473e+02,6.908e+04
37.6,7.977e+04,8.300e+03,1.568e+02,8.823e+04
39.2,9.466e+04,9.798e+03,1.679e+02,1.046e+05
40.7,1.354e+05,1.356e+04,1.783e+02,1.492e+05
42.2,1.912e+05,1.705e+04,1.808e+02,2.084e+05
43.7,2.998e+05,2.347e+04,4.359e+02,3.237e+05
45.2,3.464e+05,2.679e+04,1.004e+03,3.742e+05
46.7,2.257e+05,1.657e+04,1.338e+03,2.436e+05
48.2,1.250e+05,5.921e+03,2.074e+03,1.330e+05
49.7,7.364e+04,2.890e+03,2.270e+03,7.880e+04
51.2,7.021e+04,3.183e+03,2.452e+03,7.584e+04
52.7,8.336e+04,3.609e+03,2.423e+03,8.939e+04
54.2,9.263e+04,3.597e+03,2.075e+03,9.830e+04
55.7,1.079e+05,2.840e+03,1.489e+03,1.122e+05
57.2,1.326e+05,2.401e+03,9.781e+02,1.360e+05
58.7,1.804e+05,1.906e+03,6.617e+02,1.829e+05
60.2,2.704e+05,1.500e+03,5.981e+02,2.725e+05
61.7,4.174e+05,1.773e+03,6.067e+02,4.198e+05
63.2,7.148e+05,5.271e+03,8.094e+02,7.208e+05
64.8,1.185e+06,1.667e+04,1.778e+03,1.203e+06
66.3,1.600e+06,3.860e+04,5.676e+03,1.644e+06
67.8,1.810e+06,4.720e+04,1.458e+04,1.871e+06
69.3,1.883e+06,4.267e+04,2.365e+04,1.950e+06
70.8,1.767e+06,3.929e+04,2.740e+04,1.834e+06
72.3,1.513e+06,3.809e+04,2.363e+04,1.575e+06
73.8,1.238e+06,4.057e+04,1.665e+04,1.296e+06
75.3,1.073e+06,4.157e+04,1.212e+04,1.127e+06
76.8,8.789e+05,3.269e+04,1.005e+04,9.217e+05
78.3,7.298e+05,3.070e+04,8.067e+03,7.685e+05
79.8,6.112e+05,2.940e+04,6.029e+03,6.467e+05
81.3,5.067e+05,2.864e+04,4.230e+03,5.395e+05
82.8,4.264e+05,2.608e+04,3.247e+03,4.558e+05
84.3,3.727e+05,2.433e+04,3.035e+03,4.000e+05
85.8,3.147e+05,2.285e+04,3.073e+03,3.406e+05
87.3,2.716e+05,2.332e+04,2.809e+03,2.977e+05
88.9,2.437e+05,2.370e+04,2.599e+03,2.700e+05
90.4,2.085e+05,2.238e+04,2.911e+03,2.338e+05
91.9,1.808e+05,2.215e+04,3.547e+03,2.065e+05
93.4,1.629e+05,2.258e+04,5.003e+03,1.904e+05
94.9,1.519e+05,2.388e+04,6.437e+03,1.822e+05
96.4,1.328e+05,2.339e+04,7.402e+03,1.636e+05
97.9,1.202e+05,2.322e+04,8.204e+03,1.516e+05
99.4,1.035e+05,2.226e+04,9.287e+03,1.350e+05
100.9,9.158e+04,2.052e+04,1.028e+04,1.224e+05
102.4,8.607e+04,1.726e+04,8.141e+03,1.115e+05
103.9,8.578e+04,1.339e+04,4.049e+03,1.032e+05
105.4,8.203e+04,1.195e+04,3.439e+03,9.742e+04
106.9,7.721e+04,1.186e+04,6.919e+03,9.599e+04
108.4,6.798e+04,1.203e+04,1.320e+04,9.322e+04
109.9,6.224e+04,1.251e+04,2.374e+04,9.848e+04
111.4,5.371e+04,1.074e+04,4.026e+04,1.047e+05
112.9,4.694e+04,7.094e+03,5.816e+04,1.122e+05
114.5,4.232e+04,3.696e+03,6.435e+04,1.104e+05
116.0,4.261e+04,3.232e+03,5.438e+04,1.002e+05
117.5,4.228e+04,3.680e+03,3.634e+04,8.229e+04
119.0,4.511e+04,4.451e+03,2.128e+04,7.084e+04
120.5,4.445e+04,4.421e+03,1.193e+04,6.080e+04
122.0,4.129e+04,4.066e+03,8.119e+03,5.347e+04
123.5,3.886e+04,3.511e+03,6.088e+03,4.845e+04
125.0,3.609e+04,2.828e+03,5.713e+03,4.463e+04
126.5,3.692e+04,2.026e+03,6.261e+03,4.520e+04
128.0,4.031e+04,1.856e+03,6.748e+03,4.891e+04
129.5,4.283e+04,1.915e+03,6.616e+03,5.136e+04
131.0,5.027e+04,2.580e+03,6.903e+03,5.975e+04
132.5,5.457e+04,3.704e+03,6.720e+03,6.499e+04
134.0,5.321e+04,4.340e+03,6.139e+03,6.369e+04
